Janela,Motor,Concursos analisados,Total de jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Resultado melhor concurso,Score de premiacao,Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao automatica
Ultimos 10,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite 9,10,500,313,0.626,3,05 - 21 - 33 - 40 - 46 - 59,2955,09 - 13 - 21 - 32 - 33 - 59,89,77.333333,21.248588,2.279369,0.141397,17.89932,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite X,10,1000,650,0.65,3,05 - 06 - 27 - 36 - 37 - 48,2957,19 - 28 - 36 - 37 - 48 - 52,146,100.0,99.931035,44.160098,5.473454,19.359596,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite 9,10,500,313,0.626,3,05 - 21 - 33 - 40 - 46 - 59,2955,09 - 13 - 21 - 32 - 33 - 59,89,77.333333,21.248588,2.279369,0.141397,17.89932,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite X,10,1000,650,0.65,3,05 - 06 - 27 - 36 - 37 - 48,2957,19 - 28 - 36 - 37 - 48 - 52,146,100.0,99.931035,44.160098,5.473454,19.359596,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Elite 9,10,500,313,0.626,3,05 - 21 - 33 - 40 - 46 - 59,2955,09 - 13 - 21 - 32 - 33 - 59,89,77.333333,21.248588,2.279369,0.141397,17.89932,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Elite X,10,1000,650,0.65,3,05 - 06 - 27 - 36 - 37 - 48,2957,19 - 28 - 36 - 37 - 48 - 52,146,100.0,99.931035,44.160098,5.473454,19.359596,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
