Janela,Motor,Concursos analisados,Total de jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Resultado melhor concurso,Score de premiacao,Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao automatica
Ultimos 10,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite 9,10,500,303,0.606,4,09 - 15 - 20 - 30 - 47 - 60,2964,03 - 09 - 15 - 17 - 30 - 60,134,77.0,21.079096,2.234366,0.138956,18.389115,1,0.2,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite X,10,10,9,0.9,3,01 - 35 - 39 - 40 - 42 - 49,2958,07 - 09 - 14 - 35 - 42 - 49,5,20.0,3.448276,0.492611,0.054735,0.0,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite 9,10,500,303,0.606,4,09 - 15 - 20 - 30 - 47 - 60,2964,03 - 09 - 15 - 17 - 30 - 60,134,77.0,21.079096,2.234366,0.138956,18.389115,1,0.2,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite X,10,10,9,0.9,3,01 - 35 - 39 - 40 - 42 - 49,2958,07 - 09 - 14 - 35 - 42 - 49,5,20.0,3.448276,0.492611,0.054735,0.0,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Elite 9,10,500,303,0.606,4,09 - 15 - 20 - 30 - 47 - 60,2964,03 - 09 - 15 - 17 - 30 - 60,134,77.0,21.079096,2.234366,0.138956,18.389115,1,0.2,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Elite X,10,10,9,0.9,3,01 - 35 - 39 - 40 - 42 - 49,2958,07 - 09 - 14 - 35 - 42 - 49,5,20.0,3.448276,0.492611,0.054735,0.0,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
