Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2963,Aleatorio,10,11,1.1,3,20 - 32 - 47 - 51 - 53 - 57,06 - 20 - 34 - 44 - 53 - 57,6,0.6,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0
2963,Motor Elite 9,10,10,1.0,3,06 - 26 - 34 - 35 - 37 - 44,06 - 20 - 34 - 44 - 53 - 57,6,0.6,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0
2964,Aleatorio,10,9,0.9,2,02 - 04 - 15 - 17 - 23 - 59,03 - 09 - 15 - 17 - 30 - 60,1,0.1,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2964,Motor Elite 9,10,5,0.5,2,08 - 09 - 17 - 21 - 52 - 53,03 - 09 - 15 - 17 - 30 - 60,1,0.1,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
