Motor,Concursos analisados,Total de jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao media,Conclusao pico,Conclusao premiacao
Aleatorio,2,20,20,1.0,3,20 - 32 - 47 - 51 - 53 - 57,2963,7,0.35,2,10.0,1,5.0,0,0.0,0,0.0,0,0.0,Aleatorio venceu na media de acertos.,Aleatorio teve o melhor pico de acertos.,Aleatorio venceu no score total de premiacao.
Motor Elite 9,2,20,15,0.75,3,06 - 26 - 34 - 35 - 37 - 44,2963,7,0.35,2,10.0,1,5.0,0,0.0,0,0.0,0,0.0,Aleatorio venceu na media de acertos.,Aleatorio teve o melhor pico de acertos.,Aleatorio venceu no score total de premiacao.
