Motor,Concursos analisados,Total de jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao automatica,Vantagem sobre aleatorio,Melhor media geral
Aleatorio,3,30,18,0.6,2,23 - 31 - 34 - 39 - 44 - 49,2963,2,6.666667,0,0.0,0,0.0,0,0.0,0,0.0,Aleatorio nao superou Motor Elite 7 na media de acertos por jogo.,0.0,0.833333
Motor Elite 7,3,30,25,0.833333,3,09 - 15 - 17 - 40 - 44 - 59,2964,4,13.333333,1,3.333333,0,0.0,0,0.0,0,0.0,Motor Elite 7 teve a maior media de acertos por jogo.,0.233333,0.833333
Motor Elite 8,3,30,18,0.6,3,08 - 29 - 38 - 40 - 41 - 53,2962,2,6.666667,1,3.333333,0,0.0,0,0.0,0,0.0,Motor Elite 8 nao superou Motor Elite 7 na media de acertos por jogo.,0.0,0.833333
