Motor,Concursos analisados,Total de jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao media,Conclusao pico,Conclusao premiacao
Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,195,0.195,95,9.5,10,1.0,1,0.1,0,0.0,0,0.0,Motor Elite 9 venceu na media de acertos.,Aleatorio teve o melhor pico de acertos.,Motor Elite 9 venceu no score total de premiacao.
Motor Elite 9,10,1000,655,0.655,3,10 - 21 - 37 - 39 - 43 - 46,2956,202,0.202,112,11.2,18,1.8,0,0.0,0,0.0,0,0.0,Motor Elite 9 venceu na media de acertos.,Aleatorio teve o melhor pico de acertos.,Motor Elite 9 venceu no score total de premiacao.
