Concurso alvo,Ranking,Jogo,Score,Score Base,Score Correlação,Score Final,Score Estratégico,Score Diversidade,Distância Média,Repetidas Último Concurso,Score Repetição,Score Soma,Score Distribuição,Soma,Pares,Ímpares,Classificação,Tipo,Justificativa estatistica
3013,1.0,04 - 17 - 27 - 38 - 44 - 49,81.61,70.2,62.24,81.61,100.0,100.0,6.0,2.0,100.0,100.0,100.0,179,3,3,Excelente,Principal,"Jogo selecionado para o concurso alvo 3013 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 179, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3013,2.0,05 - 15 - 18 - 37 - 42 - 58,76.37,70.25,53.64,76.37,100.0,76.62,5.33,2.0,100.0,100.0,100.0,175,3,3,Excelente,Alternativo 1,"Jogo selecionado para o concurso alvo 3013 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 175, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3013,3.0,05 - 10 - 27 - 35 - 46 - 58,76.0,70.06,59.11,76.0,94.75,73.33,5.0,1.0,85.0,100.0,100.0,181,3,3,Excelente,Alternativo 2,"Jogo selecionado para o concurso alvo 3013 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 181, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3013,4.0,07 - 18 - 27 - 32 - 45 - 52,75.87,71.73,45.32,75.87,94.75,73.33,5.25,1.0,85.0,100.0,100.0,181,3,3,Excelente,Alternativo 3,"Jogo selecionado para o concurso alvo 3013 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 181, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3013,5.0,03 - 17 - 30 - 42 - 43 - 52,75.18,70.88,49.03,75.18,100.0,73.32,5.11,2.0,100.0,100.0,100.0,187,3,3,Excelente,Alternativo 4,"Jogo selecionado para o concurso alvo 3013 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 187, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3013,6.0,07 - 22 - 27 - 32 - 41 - 52,75.03,70.88,48.59,75.03,100.0,69.33,4.8,2.0,100.0,100.0,100.0,181,3,3,Excelente,Alternativo 5,"Jogo selecionado para o concurso alvo 3013 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 181, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3013,,01 - 06 - 07 - 09 - 10 - 14 - 15 - 17 - 23 - 27 - 30 - 32 - 36 - 40 - 42 - 49 - 50 - 52 - 58 - 60,56.72,,,56.72,,,,,,,,578,12,8,,Cobertura 20 dezenas,Jogo unico de cobertura formado pelas 20 dezenas mais fortes do ranking para ampliar combinacoes a partir do concurso alvo.
