Concurso alvo,Ranking,Jogo,Score,Score Base,Score Correlação,Score Final,Score Estratégico,Score Diversidade,Distância Média,Repetidas Último Concurso,Score Repetição,Score Soma,Score Distribuição,Soma,Pares,Ímpares,Classificação,Tipo,Justificativa estatistica
3015,1.0,04 - 17 - 27 - 37 - 44 - 52,82.5,70.92,63.28,82.5,94.75,100.0,6.0,1.0,85.0,100.0,100.0,181,3,3,Excelente,Principal,"Jogo selecionado para o concurso alvo 3015 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 181, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3015,2.0,07 - 18 - 23 - 31 - 42 - 58,78.51,70.81,50.99,78.51,100.0,80.0,6.0,2.0,100.0,100.0,100.0,179,3,3,Excelente,Alternativo 1,"Jogo selecionado para o concurso alvo 3015 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 179, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3015,3.0,05 - 15 - 30 - 31 - 42 - 60,76.27,71.47,49.1,76.27,100.0,66.67,5.0,2.0,100.0,100.0,100.0,183,3,3,Excelente,Alternativo 2,"Jogo selecionado para o concurso alvo 3015 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 183, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3015,4.0,01 - 14 - 23 - 37 - 42 - 60,75.28,72.99,49.21,75.28,94.75,63.33,4.75,1.0,85.0,100.0,100.0,177,3,3,Excelente,Alternativo 3,"Jogo selecionado para o concurso alvo 3015 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 177, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3015,5.0,05 - 17 - 20 - 32 - 43 - 58,74.73,68.6,52.58,74.73,100.0,70.74,5.0,2.0,100.0,100.0,100.0,175,3,3,Muito Forte,Alternativo 4,"Jogo selecionado para o concurso alvo 3015 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 175, 3 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3015,6.0,07 - 20 - 27 - 40 - 41 - 53,74.6,65.67,58.69,74.6,100.0,69.1,5.12,2.0,100.0,100.0,100.0,188,2,4,Muito Forte,Alternativo 5,"Jogo selecionado para o concurso alvo 3015 combinando frequencia geral, janelas de 20/50/100 concursos, atraso, regularidade, correlacao, soma 188, 2 pares, distribuicao por faixas e repeticao controlada do ultimo concurso."
3015,,01 - 06 - 07 - 09 - 10 - 14 - 15 - 17 - 23 - 27 - 30 - 32 - 36 - 40 - 42 - 49 - 50 - 52 - 58 - 60,56.72,,,56.72,,,,,,,,578,12,8,,Cobertura 20 dezenas,Jogo unico de cobertura formado pelas 20 dezenas mais fortes do ranking para ampliar combinacoes a partir do concurso alvo.
