Motor,Base ate concurso,Concursos analisados,Primeiro concurso auditado,Ultimo concurso auditado,Total de jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao painel
Aleatorio,3012,48,2965,3012,960,567,0.590625,3,16 - 27 - 32 - 39 - 43 - 46,2973,143,0.148958,98,10.208333,9,0.9375,0,0.0,0,0.0,0,0.0,Aleatorio venceu no score total de premiacao. Melhor pico: Aleatorio.
Motor Elite Painel,3012,48,2965,3012,960,557,0.580208,3,04 - 06 - 23 - 44 - 45 - 53,2966,104,0.108333,69,7.1875,7,0.729167,0,0.0,0,0.0,0,0.0,Aleatorio venceu no score total de premiacao. Melhor pico: Aleatorio.
