Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2963,Aleatorio,10,11,1.1,3,20 - 32 - 47 - 51 - 53 - 57,06 - 20 - 34 - 44 - 53 - 57,6,0.6,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0
2963,Motor Elite 7,10,1,0.1,1,01 - 15 - 21 - 44 - 52 - 59,06 - 20 - 34 - 44 - 53 - 57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2963,Motor Elite 8,10,6,0.6,1,07 - 20 - 28 - 43 - 45 - 52,06 - 20 - 34 - 44 - 53 - 57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2963,Motor Elite 9,10,14,1.4,3,16 - 20 - 21 - 34 - 43 - 57,06 - 20 - 34 - 44 - 53 - 57,8,0.8,3,30.0,1,10.0,0,0.0,0,0.0,0,0.0
2964,Aleatorio,10,9,0.9,2,02 - 04 - 15 - 17 - 23 - 59,03 - 09 - 15 - 17 - 30 - 60,1,0.1,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2964,Motor Elite 7,10,5,0.5,2,03 - 07 - 21 - 35 - 52 - 60,03 - 09 - 15 - 17 - 30 - 60,1,0.1,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2964,Motor Elite 8,10,7,0.7,2,03 - 04 - 16 - 33 - 49 - 60,03 - 09 - 15 - 17 - 30 - 60,2,0.2,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0
2964,Motor Elite 9,10,11,1.1,2,10 - 17 - 26 - 30 - 35 - 53,03 - 09 - 15 - 17 - 30 - 60,3,0.3,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0
