Janela,Motor,Concursos analisados,Total de jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Resultado melhor concurso,Score de premiacao,Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao automatica
Ultimos 10,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite 9,10,500,317,0.634,4,02 - 10 - 13 - 33 - 56 - 59,2961,10 - 13 - 55 - 56 - 59 - 60,153,75.5,20.700565,2.229398,0.13949,18.463946,1,0.2,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite X,10,1000,652,0.652,3,05 - 06 - 27 - 36 - 37 - 48,2957,19 - 28 - 36 - 37 - 48 - 52,156,100.0,100.0,45.682266,5.473454,19.283501,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite 9,10,500,317,0.634,4,02 - 10 - 13 - 33 - 56 - 59,2961,10 - 13 - 55 - 56 - 59 - 60,153,75.5,20.700565,2.229398,0.13949,18.463946,1,0.2,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Ultimos 10,Elite X,10,1000,652,0.652,3,05 - 06 - 27 - 36 - 37 - 48,2957,19 - 28 - 36 - 37 - 48 - 52,156,100.0,100.0,45.682266,5.473454,19.283501,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Aleatorio,10,1000,593,0.593,4,03 - 15 - 16 - 42 - 47 - 59,2960,03 - 13 - 15 - 16 - 46 - 47,195,100.0,57.514124,5.696961,0.307053,9.921212,1,0.1,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Elite 9,10,500,317,0.634,4,02 - 10 - 13 - 33 - 56 - 59,2961,10 - 13 - 55 - 56 - 59 - 60,153,75.5,20.700565,2.229398,0.13949,18.463946,1,0.2,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
Toda a base,Elite X,10,1000,652,0.652,3,05 - 06 - 27 - 36 - 37 - 48,2957,19 - 28 - 36 - 37 - 48 - 52,156,100.0,100.0,45.682266,5.473454,19.283501,0,0.0,0,0.0,0,0.0,Media: Elite X. 4 acertos: Aleatorio. 5 acertos: Aleatorio. 6 acertos: Aleatorio. Score premiacao: Aleatorio. Elite X agrega valor ao Banco Mestre: sim.
