Motor,Concursos,Jogos,Media_acertos,Melhor_acerto,Taxa_3_mais,Taxa_4_mais,Taxa_5_mais,Score_medio
Elite 9,1000,3000,0.598,4,0.93,0.07,0.0,71.29
Elite X PRO,1000,3000,0.5927,4,0.83,0.03,0.0,73.64
