Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
1979,Motor Elite 9,100,68,0.68,3,14 - 22 - 29 - 32 - 35 - 43,22 - 23 - 29 - 32 - 38 - 45,25,0.25,15,15.0,2,2.0,0,0.0,0,0.0,0,0.0
1980,Aleatorio,100,58,0.58,3,05 - 17 - 30 - 34 - 36 - 37,12 - 16 - 17 - 18 - 34 - 37,19,0.19,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1980,Motor Elite 9,100,43,0.43,2,01 - 10 - 17 - 30 - 37 - 50,12 - 16 - 17 - 18 - 34 - 37,5,0.05,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
1981,Aleatorio,100,63,0.63,2,06 - 16 - 48 - 53 - 55 - 56,06 - 15 - 19 - 37 - 39 - 53,9,0.09,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
1981,Motor Elite 9,100,53,0.53,2,02 - 19 - 23 - 34 - 53 - 57,06 - 15 - 19 - 37 - 39 - 53,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1982,Aleatorio,100,50,0.5,3,13 - 20 - 24 - 37 - 38 - 50,04 - 14 - 20 - 24 - 46 - 50,11,0.11,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
1982,Motor Elite 9,100,100,1.0,3,14 - 22 - 29 - 35 - 46 - 50,04 - 14 - 20 - 24 - 46 - 50,39,0.39,19,19.0,4,4.0,0,0.0,0,0.0,0,0.0
1983,Aleatorio,100,58,0.58,2,07 - 10 - 19 - 22 - 56 - 57,05 - 06 - 10 - 14 - 22 - 36,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1983,Motor Elite 9,100,89,0.89,3,10 - 14 - 15 - 36 - 45 - 55,05 - 06 - 10 - 14 - 22 - 36,25,0.25,15,15.0,2,2.0,0,0.0,0,0.0,0,0.0
1984,Aleatorio,100,45,0.45,3,10 - 21 - 32 - 33 - 34 - 43,21 - 29 - 32 - 35 - 43 - 50,11,0.11,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
1984,Motor Elite 9,100,107,1.07,4,14 - 22 - 29 - 32 - 35 - 43,21 - 29 - 32 - 35 - 43 - 50,203,2.03,23,23.0,6,6.0,3,3.0,0,0.0,0,0.0
1985,Aleatorio,100,50,0.5,2,09 - 32 - 40 - 47 - 51 - 55,09 - 28 - 29 - 34 - 36 - 55,6,0.06,6,6.0,0,0.0,0,0.0,0,0.0,0,0.0
1985,Motor Elite 9,100,63,0.63,3,12 - 14 - 28 - 36 - 45 - 55,09 - 28 - 29 - 34 - 36 - 55,10,0.1,5,5.0,1,1.0,0,0.0,0,0.0,0,0.0
1986,Aleatorio,100,63,0.63,3,22 - 23 - 33 - 36 - 45 - 56,23 - 36 - 43 - 44 - 55 - 56,17,0.17,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
1986,Motor Elite 9,100,63,0.63,2,10 - 23 - 34 - 53 - 55 - 60,23 - 36 - 43 - 44 - 55 - 56,17,0.17,17,17.0,0,0.0,0,0.0,0,0.0,0,0.0
1987,Aleatorio,100,55,0.55,2,10 - 12 - 19 - 34 - 41 - 49,10 - 14 - 31 - 34 - 45 - 58,8,0.08,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1987,Motor Elite 9,100,73,0.73,3,10 - 14 - 15 - 36 - 45 - 55,10 - 14 - 31 - 34 - 45 - 58,12,0.12,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
1988,Aleatorio,100,64,0.64,2,04 - 09 - 10 - 29 - 36 - 54,05 - 10 - 39 - 42 - 46 - 54,14,0.14,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,Motor Elite 9,100,110,1.1,5,09 - 10 - 39 - 42 - 46 - 54,05 - 10 - 39 - 42 - 46 - 54,1594,15.94,14,14.0,6,6.0,1,1.0,3,3.0,0,0.0
1989,Aleatorio,100,65,0.65,4,05 - 15 - 20 - 22 - 32 - 40,15 - 22 - 30 - 32 - 40 - 58,69,0.69,9,9.0,2,2.0,1,1.0,0,0.0,0,0.0
1989,Motor Elite 9,100,37,0.37,2,14 - 22 - 29 - 32 - 35 - 43,15 - 22 - 30 - 32 - 40 - 58,2,0.02,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
1990,Aleatorio,100,50,0.5,2,10 - 11 - 14 - 15 - 34 - 51,11 - 24 - 26 - 34 - 37 - 59,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1990,Motor Elite 9,100,58,0.58,2,09 - 11 - 16 - 24 - 43 - 57,11 - 24 - 26 - 34 - 37 - 59,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1991,Aleatorio,100,66,0.66,3,10 - 16 - 28 - 36 - 44 - 58,19 - 20 - 28 - 34 - 36 - 44,15,0.15,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1991,Motor Elite 9,100,34,0.34,2,02 - 19 - 43 - 44 - 46 - 60,19 - 20 - 28 - 34 - 36 - 44,5,0.05,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
1992,Aleatorio,100,49,0.49,2,03 - 21 - 32 - 54 - 55 - 57,05 - 11 - 13 - 21 - 53 - 54,11,0.11,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
1992,Motor Elite 9,100,79,0.79,3,10 - 11 - 13 - 21 - 46 - 50,05 - 11 - 13 - 21 - 53 - 54,41,0.41,16,16.0,5,5.0,0,0.0,0,0.0,0,0.0
1993,Aleatorio,100,66,0.66,3,07 - 17 - 43 - 48 - 49 - 50,06 - 17 - 33 - 48 - 50 - 57,25,0.25,15,15.0,2,2.0,0,0.0,0,0.0,0,0.0
1993,Motor Elite 9,100,45,0.45,2,01 - 10 - 17 - 30 - 37 - 50,06 - 17 - 33 - 48 - 50 - 57,5,0.05,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
1994,Aleatorio,100,56,0.56,3,02 - 35 - 39 - 40 - 44 - 50,02 - 05 - 12 - 32 - 40 - 44,18,0.18,8,8.0,2,2.0,0,0.0,0,0.0,0,0.0
1994,Motor Elite 9,100,26,0.26,3,02 - 13 - 19 - 32 - 44 - 57,02 - 05 - 12 - 32 - 40 - 44,7,0.07,2,2.0,1,1.0,0,0.0,0,0.0,0,0.0
1995,Aleatorio,100,59,0.59,2,04 - 12 - 13 - 35 - 37 - 43,14 - 26 - 29 - 35 - 37 - 39,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1995,Motor Elite 9,100,105,1.05,3,14 - 22 - 29 - 33 - 35 - 46,14 - 26 - 29 - 35 - 37 - 39,71,0.71,16,16.0,11,11.0,0,0.0,0,0.0,0,0.0
1996,Aleatorio,100,54,0.54,2,14 - 20 - 26 - 37 - 56 - 60,07 - 20 - 21 - 24 - 40 - 56,10,0.1,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
1996,Motor Elite 9,100,44,0.44,2,07 - 10 - 11 - 21 - 46 - 50,07 - 20 - 21 - 24 - 40 - 56,6,0.06,6,6.0,0,0.0,0,0.0,0,0.0,0,0.0
1997,Aleatorio,100,49,0.49,2,08 - 14 - 35 - 37 - 47 - 59,01 - 07 - 14 - 31 - 35 - 46,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1997,Motor Elite 9,100,106,1.06,4,07 - 12 - 14 - 35 - 36 - 46,01 - 07 - 14 - 31 - 35 - 46,116,1.16,16,16.0,10,10.0,1,1.0,0,0.0,0,0.0
1998,Aleatorio,100,52,0.52,3,05 - 08 - 21 - 42 - 50 - 52,08 - 21 - 24 - 25 - 52 - 57,11,0.11,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
1998,Motor Elite 9,100,51,0.51,2,09 - 11 - 16 - 24 - 43 - 57,08 - 21 - 24 - 25 - 52 - 57,8,0.08,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1999,Aleatorio,100,72,0.72,3,02 - 10 - 15 - 19 - 37 - 49,15 - 37 - 38 - 42 - 49 - 50,27,0.27,17,17.0,2,2.0,0,0.0,0,0.0,0,0.0
1999,Motor Elite 9,100,62,0.62,3,10 - 13 - 20 - 37 - 38 - 50,15 - 37 - 38 - 42 - 49 - 50,22,0.22,12,12.0,2,2.0,0,0.0,0,0.0,0,0.0
2000,Aleatorio,100,65,0.65,3,06 - 10 - 27 - 28 - 32 - 34,03 - 06 - 10 - 17 - 34 - 37,16,0.16,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2000,Motor Elite 9,100,82,0.82,3,01 - 10 - 17 - 30 - 37 - 50,03 - 06 - 10 - 17 - 34 - 37,25,0.25,20,20.0,1,1.0,0,0.0,0,0.0,0,0.0
2001,Aleatorio,100,59,0.59,2,10 - 20 - 22 - 38 - 40 - 55,20 - 22 - 36 - 42 - 52 - 60,11,0.11,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
2001,Motor Elite 9,100,66,0.66,2,10 - 13 - 20 - 37 - 38 - 60,20 - 22 - 36 - 42 - 52 - 60,10,0.1,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2002,Aleatorio,100,73,0.73,3,30 - 38 - 43 - 47 - 48 - 59,04 - 28 - 30 - 38 - 46 - 59,29,0.29,14,14.0,3,3.0,0,0.0,0,0.0,0,0.0
2002,Motor Elite 9,100,82,0.82,3,04 - 29 - 30 - 43 - 52 - 59,04 - 28 - 30 - 38 - 46 - 59,28,0.28,8,8.0,4,4.0,0,0.0,0,0.0,0,0.0
2003,Aleatorio,100,63,0.63,2,25 - 26 - 43 - 44 - 51 - 60,28 - 34 - 40 - 43 - 50 - 51,10,0.1,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2003,Motor Elite 9,100,46,0.46,2,04 - 13 - 36 - 40 - 43 - 53,28 - 34 - 40 - 43 - 50 - 51,2,0.02,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,Aleatorio,100,60,0.6,2,14 - 22 - 25 - 29 - 45 - 53,01 - 05 - 14 - 23 - 35 - 45,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,Motor Elite 9,100,75,0.75,3,01 - 14 - 29 - 32 - 35 - 54,01 - 05 - 14 - 23 - 35 - 45,24,0.24,19,19.0,1,1.0,0,0.0,0,0.0,0,0.0
2005,Aleatorio,100,52,0.52,2,02 - 09 - 10 - 19 - 48 - 53,11 - 19 - 22 - 33 - 34 - 53,8,0.08,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,Motor Elite 9,100,57,0.57,3,02 - 19 - 23 - 34 - 53 - 57,11 - 19 - 22 - 33 - 34 - 53,15,0.15,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2006,Aleatorio,100,52,0.52,3,05 - 09 - 14 - 25 - 46 - 47,01 - 09 - 14 - 20 - 25 - 54,11,0.11,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
2006,Motor Elite 9,100,73,0.73,3,09 - 10 - 13 - 25 - 46 - 54,01 - 09 - 14 - 20 - 25 - 54,18,0.18,3,3.0,3,3.0,0,0.0,0,0.0,0,0.0
2007,Aleatorio,100,60,0.6,3,14 - 19 - 30 - 39 - 49 - 58,04 - 14 - 39 - 41 - 54 - 58,19,0.19,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
2007,Motor Elite 9,100,54,0.54,2,09 - 10 - 39 - 42 - 46 - 54,04 - 14 - 39 - 41 - 54 - 58,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,Aleatorio,100,68,0.68,2,21 - 28 - 33 - 49 - 55 - 59,22 - 27 - 33 - 42 - 58 - 59,12,0.12,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,Motor Elite 9,100,37,0.37,3,14 - 22 - 27 - 29 - 33 - 46,22 - 27 - 33 - 42 - 58 - 59,8,0.08,3,3.0,1,1.0,0,0.0,0,0.0,0,0.0
2009,Aleatorio,100,73,0.73,2,02 - 03 - 07 - 16 - 37 - 46,01 - 37 - 44 - 46 - 48 - 50,15,0.15,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0
2009,Motor Elite 9,100,92,0.92,3,01 - 10 - 17 - 30 - 37 - 50,01 - 37 - 44 - 46 - 48 - 50,37,0.37,17,17.0,4,4.0,0,0.0,0,0.0,0,0.0
2010,Aleatorio,100,51,0.51,3,08 - 10 - 21 - 39 - 48 - 58,08 - 10 - 18 - 34 - 39 - 56,15,0.15,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2010,Motor Elite 9,100,71,0.71,4,10 - 13 - 18 - 39 - 43 - 56,08 - 10 - 18 - 34 - 39 - 56,60,0.6,10,10.0,0,0.0,1,1.0,0,0.0,0,0.0
2011,Aleatorio,100,64,0.64,3,02 - 08 - 28 - 37 - 54 - 56,02 - 28 - 32 - 35 - 54 - 58,17,0.17,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
2011,Motor Elite 9,100,57,0.57,3,01 - 14 - 29 - 32 - 35 - 54,02 - 28 - 32 - 35 - 54 - 58,11,0.11,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
2012,Aleatorio,100,55,0.55,3,01 - 11 - 21 - 27 - 36 - 40,08 - 11 - 27 - 35 - 36 - 51,18,0.18,8,8.0,2,2.0,0,0.0,0,0.0,0,0.0
2012,Motor Elite 9,100,76,0.76,3,08 - 27 - 36 - 37 - 40 - 45,08 - 11 - 27 - 35 - 36 - 51,24,0.24,9,9.0,3,3.0,0,0.0,0,0.0,0,0.0
2013,Aleatorio,100,60,0.6,3,03 - 06 - 13 - 23 - 30 - 32,06 - 23 - 30 - 36 - 53 - 56,21,0.21,11,11.0,2,2.0,0,0.0,0,0.0,0,0.0
2013,Motor Elite 9,100,58,0.58,2,10 - 23 - 34 - 53 - 55 - 60,06 - 23 - 30 - 36 - 53 - 56,12,0.12,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
2014,Aleatorio,100,64,0.64,2,29 - 33 - 46 - 51 - 52 - 53,16 - 32 - 40 - 46 - 53 - 56,13,0.13,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0
2014,Motor Elite 9,100,79,0.79,2,01 - 29 - 32 - 35 - 43 - 56,16 - 32 - 40 - 46 - 53 - 56,9,0.09,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
2015,Aleatorio,100,66,0.66,3,04 - 27 - 39 - 47 - 53 - 58,17 - 18 - 27 - 32 - 39 - 58,13,0.13,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
2015,Motor Elite 9,100,34,0.34,2,10 - 13 - 18 - 39 - 43 - 56,17 - 18 - 27 - 32 - 39 - 58,2,0.02,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
2016,Aleatorio,100,55,0.55,2,05 - 11 - 21 - 31 - 52 - 57,04 - 11 - 17 - 18 - 21 - 48,10,0.1,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2016,Motor Elite 9,100,52,0.52,2,10 - 11 - 13 - 21 - 46 - 50,04 - 11 - 17 - 18 - 21 - 48,8,0.08,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2017,Aleatorio,100,63,0.63,3,10 - 11 - 24 - 34 - 41 - 52,02 - 10 - 11 - 24 - 38 - 56,20,0.2,15,15.0,1,1.0,0,0.0,0,0.0,0,0.0
2017,Motor Elite 9,100,102,1.02,4,02 - 10 - 35 - 38 - 41 - 56,02 - 10 - 11 - 24 - 38 - 56,93,0.93,23,23.0,4,4.0,1,1.0,0,0.0,0,0.0
2018,Aleatorio,100,66,0.66,3,11 - 23 - 27 - 44 - 50 - 59,11 - 22 - 25 - 27 - 55 - 59,19,0.19,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
2018,Motor Elite 9,100,63,0.63,3,10 - 11 - 25 - 27 - 42 - 46,11 - 22 - 25 - 27 - 55 - 59,22,0.22,7,7.0,3,3.0,0,0.0,0,0.0,0,0.0
2019,Aleatorio,100,75,0.75,3,22 - 28 - 45 - 46 - 54 - 59,23 - 41 - 46 - 52 - 54 - 59,32,0.32,17,17.0,3,3.0,0,0.0,0,0.0,0,0.0
2019,Motor Elite 9,100,69,0.69,2,09 - 10 - 39 - 42 - 46 - 54,23 - 41 - 46 - 52 - 54 - 59,16,0.16,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0
2020,Aleatorio,100,64,0.64,2,17 - 20 - 30 - 36 - 47 - 48,02 - 36 - 46 - 48 - 57 - 60,12,0.12,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
2020,Motor Elite 9,100,85,0.85,3,02 - 19 - 43 - 44 - 46 - 60,02 - 36 - 46 - 48 - 57 - 60,18,0.18,13,13.0,1,1.0,0,0.0,0,0.0,0,0.0
2021,Aleatorio,100,75,0.75,3,02 - 07 - 14 - 31 - 36 - 60,07 - 14 - 32 - 37 - 40 - 60,23,0.23,13,13.0,2,2.0,0,0.0,0,0.0,0,0.0
2021,Motor Elite 9,100,69,0.69,3,10 - 13 - 20 - 32 - 37 - 60,07 - 14 - 32 - 37 - 40 - 60,19,0.19,14,14.0,1,1.0,0,0.0,0,0.0,0,0.0
2022,Aleatorio,100,67,0.67,3,31 - 48 - 52 - 54 - 59 - 60,04 - 28 - 45 - 48 - 52 - 60,17,0.17,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
2022,Motor Elite 9,100,51,0.51,2,01 - 04 - 27 - 36 - 37 - 45,04 - 28 - 45 - 48 - 52 - 60,9,0.09,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
2023,Aleatorio,100,72,0.72,3,01 - 08 - 19 - 23 - 32 - 34,01 - 06 - 07 - 08 - 23 - 56,24,0.24,14,14.0,2,2.0,0,0.0,0,0.0,0,0.0
2023,Motor Elite 9,100,45,0.45,2,01 - 29 - 32 - 35 - 43 - 56,01 - 06 - 07 - 08 - 23 - 56,5,0.05,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
2024,Aleatorio,100,49,0.49,3,07 - 08 - 14 - 16 - 23 - 47,16 - 20 - 23 - 29 - 35 - 47,12,0.12,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2024,Motor Elite 9,100,87,0.87,3,14 - 22 - 29 - 35 - 46 - 47,16 - 20 - 23 - 29 - 35 - 47,39,0.39,19,19.0,4,4.0,0,0.0,0,0.0,0,0.0
2025,Aleatorio,100,58,0.58,2,03 - 04 - 26 - 29 - 49 - 55,04 - 24 - 46 - 52 - 55 - 56,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
2025,Motor Elite 9,100,88,0.88,3,04 - 27 - 35 - 38 - 52 - 56,04 - 24 - 46 - 52 - 55 - 56,29,0.29,9,9.0,4,4.0,0,0.0,0,0.0,0,0.0
2026,Aleatorio,100,65,0.65,3,05 - 23 - 31 - 34 - 51 - 53,10 - 23 - 31 - 33 - 51 - 52,15,0.15,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2026,Motor Elite 9,100,64,0.64,2,10 - 23 - 34 - 53 - 55 - 60,10 - 23 - 31 - 33 - 51 - 52,8,0.08,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2027,Aleatorio,100,81,0.81,4,08 - 15 - 29 - 39 - 44 - 54,11 - 15 - 29 - 37 - 39 - 44,69,0.69,14,14.0,1,1.0,1,1.0,0,0.0,0,0.0
2027,Motor Elite 9,100,82,0.82,3,08 - 09 - 11 - 39 - 44 - 47,11 - 15 - 29 - 37 - 39 - 44,12,0.12,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2028,Aleatorio,100,61,0.61,2,22 - 24 - 27 - 34 - 48 - 58,07 - 11 - 24 - 36 - 42 - 58,8,0.08,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2028,Motor Elite 9,100,53,0.53,2,10 - 11 - 25 - 27 - 42 - 46,07 - 11 - 24 - 36 - 42 - 58,9,0.09,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
2029,Aleatorio,100,55,0.55,2,05 - 06 - 24 - 28 - 33 - 42,06 - 15 - 18 - 33 - 37 - 40,10,0.1,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2029,Motor Elite 9,100,35,0.35,2,08 - 27 - 36 - 37 - 40 - 45,06 - 15 - 18 - 33 - 37 - 40,3,0.03,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0
2030,Aleatorio,100,71,0.71,3,01 - 04 - 28 - 49 - 58 - 59,04 - 27 - 38 - 40 - 58 - 59,23,0.23,13,13.0,2,2.0,0,0.0,0,0.0,0,0.0
2030,Motor Elite 9,100,44,0.44,3,04 - 27 - 35 - 38 - 52 - 56,04 - 27 - 38 - 40 - 58 - 59,14,0.14,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
