Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2955,Aleatorio,100,55,0.55,3,13 - 17 - 21 - 25 - 28 - 59,09 - 13 - 21 - 32 - 33 - 59,12,0.12,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2955,Motor Elite 9,100,48,0.48,2,09 - 12 - 22 - 33 - 43 - 45,09 - 13 - 21 - 32 - 33 - 59,8,0.08,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2956,Aleatorio,100,61,0.61,3,10 - 16 - 21 - 27 - 32 - 43,10 - 18 - 21 - 24 - 43 - 47,15,0.15,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2956,Motor Elite 9,100,58,0.58,3,10 - 21 - 37 - 39 - 43 - 46,10 - 18 - 21 - 24 - 43 - 47,12,0.12,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2957,Aleatorio,100,52,0.52,3,10 - 25 - 28 - 48 - 52 - 58,19 - 28 - 36 - 37 - 48 - 52,14,0.14,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2957,Motor Elite 9,100,43,0.43,2,14 - 17 - 28 - 37 - 43 - 54,19 - 28 - 36 - 37 - 48 - 52,5,0.05,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
2958,Aleatorio,100,57,0.57,3,07 - 09 - 11 - 42 - 53 - 58,07 - 09 - 14 - 35 - 42 - 49,14,0.14,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2958,Motor Elite 9,100,61,0.61,2,17 - 22 - 35 - 36 - 49 - 52,07 - 09 - 14 - 35 - 42 - 49,10,0.1,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2959,Aleatorio,100,59,0.59,3,21 - 26 - 43 - 44 - 45 - 53,18 - 26 - 35 - 41 - 44 - 45,19,0.19,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
2959,Motor Elite 9,100,51,0.51,2,09 - 18 - 24 - 37 - 44 - 56,18 - 26 - 35 - 41 - 44 - 45,5,0.05,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
2960,Aleatorio,100,60,0.6,4,03 - 15 - 16 - 42 - 47 - 59,03 - 13 - 15 - 16 - 46 - 47,58,0.58,8,8.0,0,0.0,1,1.0,0,0.0,0,0.0
2960,Motor Elite 9,100,91,0.91,3,09 - 16 - 25 - 46 - 47 - 53,03 - 13 - 15 - 16 - 46 - 47,37,0.37,22,22.0,3,3.0,0,0.0,0,0.0,0,0.0
2961,Aleatorio,100,60,0.6,2,03 - 09 - 39 - 53 - 55 - 59,10 - 13 - 55 - 56 - 59 - 60,13,0.13,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0
2961,Motor Elite 9,100,94,0.94,3,11 - 13 - 28 - 36 - 55 - 60,10 - 13 - 55 - 56 - 59 - 60,42,0.42,22,22.0,4,4.0,0,0.0,0,0.0,0,0.0
2962,Aleatorio,100,66,0.66,3,03 - 21 - 29 - 33 - 35 - 38,06 - 29 - 33 - 38 - 53 - 56,16,0.16,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2962,Motor Elite 9,100,71,0.71,3,05 - 16 - 29 - 32 - 33 - 38,06 - 29 - 33 - 38 - 53 - 56,29,0.29,14,14.0,3,3.0,0,0.0,0,0.0,0,0.0
2963,Aleatorio,100,61,0.61,3,03 - 09 - 20 - 34 - 38 - 44,06 - 20 - 34 - 44 - 53 - 57,14,0.14,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2963,Motor Elite 9,100,57,0.57,3,06 - 32 - 44 - 46 - 55 - 57,06 - 20 - 34 - 44 - 53 - 57,21,0.21,6,6.0,3,3.0,0,0.0,0,0.0,0,0.0
2964,Aleatorio,100,62,0.62,3,16 - 17 - 26 - 30 - 56 - 60,03 - 09 - 15 - 17 - 30 - 60,20,0.2,10,10.0,2,2.0,0,0.0,0,0.0,0,0.0
2964,Motor Elite 9,100,81,0.81,3,04 - 15 - 17 - 30 - 38 - 40,03 - 09 - 15 - 17 - 30 - 60,33,0.33,13,13.0,4,4.0,0,0.0,0,0.0,0,0.0
