Motor,Concursos analisados,Total de jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Concurso do melhor jogo,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Conclusao media,Conclusao pico,Conclusao premiacao
Aleatorio,1000,100000,60316,0.60316,4,16 - 23 - 28 - 32 - 34 - 42,1977,16454,0.16454,9604,9.604,1050,1.05,32,0.032,0,0.0,0,0.0,Motor Elite 9 venceu na media de acertos.,Motor Elite 9 teve o melhor pico de acertos.,Motor Elite 9 venceu no score total de premiacao.
Motor Elite 9,1000,100000,63729,0.63729,5,09 - 10 - 39 - 42 - 46 - 54,1988,51026,0.51026,10241,10.241,1247,1.247,191,0.191,50,0.05,0,0.0,Motor Elite 9 venceu na media de acertos.,Motor Elite 9 teve o melhor pico de acertos.,Motor Elite 9 venceu no score total de premiacao.
